=== Transmission / Reflection vs Energy (Displayed Range) ===
 Energy (eV)    Transmission      Reflection
      2.9865        0.999402        0.000598
      2.9910        0.984198        0.015802
      2.9955        0.992381        0.007619
      3.0000        0.991728        0.008272
      3.0045        0.981490        0.018510
      3.0090        0.999096        0.000904
      3.0135        0.974813        0.025187
      3.0180        0.997859        0.002141
      3.0225        0.978247        0.021753
      3.0270        0.985182        0.014818
      3.0315        0.990124        0.009876
      3.0360        0.968154        0.031846
      3.0405        0.999680        0.000320
      3.0450        0.959484        0.040516
      3.0495        0.992981        0.007019
      3.0541        0.968076        0.031924
      3.0586        0.966651        0.033349
      3.0631        0.989502        0.010498
      3.0676        0.936447        0.063553
      3.0721        0.999287        0.000713
      3.0766        0.928610        0.071390
      3.0811        0.965431        0.034569
      3.0856        0.960264        0.039736
      3.0901        0.894195        0.105805
      3.0946        0.999862        0.000138
      3.0991        0.853769        0.146231
      3.1036        0.918484        0.081516
      3.1081        0.937609        0.062391
      3.1126        0.725896        0.274104
      3.1171        0.894667        0.105333
      3.1216        0.892891        0.107109
      3.1261        0.487948        0.512052
      3.1306        0.249632        0.750368
      3.1351        0.000423        0.999577
      3.1396        0.000008        0.999992
      3.1441        0.000001        0.999999
      3.1486        0.000000        1.000000
      3.1532        0.000000        1.000000
      3.1577        0.000000        1.000000
      3.1622        0.000000        1.000000
      3.1667        0.000001        0.999999
      3.1712        0.000008        0.999992
      3.1757        0.000359        0.999641
      3.1802        0.286752        0.713248
      3.1847        0.522877        0.477123
      3.1892        0.946920        0.053080
      3.1937        0.837718        0.162282
      3.1982        0.723495        0.276505
      3.2027        0.973750        0.026250
      3.2072        0.874828        0.125172
      3.2117        0.877566        0.122434
      3.2162        0.989843        0.010157
      3.2207        0.879090        0.120910
      3.2252        0.990702        0.009298
      3.2297        0.928527        0.071473
      3.2342        0.958283        0.041717
      3.2387        0.975896        0.024104
      3.2432        0.940882        0.059118
      3.2477        0.998210        0.001790
      3.2523        0.944284        0.055716
      3.2568        0.997337        0.002663
      3.2613        0.960331        0.039669
      3.2658        0.986024        0.013976
      3.2703        0.979070        0.020930
      3.2748        0.975237        0.024763
      3.2793        0.993160        0.006840
      3.2838        0.970239        0.029761
      3.2883        0.999529        0.000471
      3.2928        0.971709        0.028291
      3.2973        0.998971        0.001029
      3.3018        0.977802        0.022198
      3.3063        0.994391        0.005609
      3.3108        0.985764        0.014236
      3.3153        0.988938        0.011062
      3.3198        0.993045        0.006955
      3.3243        0.984884        0.015116
      3.3288        0.997963        0.002037
      3.3333        0.983309        0.016691
      3.3378        0.999938        0.000062
      3.3423        0.984259        0.015741
      3.3468        0.999337        0.000663
      3.3514        0.987099        0.012901
      3.3559        0.997090        0.002910
      3.3604        0.990876        0.009124
      3.3649        0.994271        0.005729
      3.3694        0.994633        0.005367
      3.3739        0.991789        0.008211
      3.3784        0.997627        0.002373
      3.3829        0.990227        0.009773
      3.3874        0.999442        0.000558
      3.3919        0.989815        0.010185
      3.3964        1.000000        0.000000
      3.4009        0.990488        0.009512
      3.4054        0.999494        0.000506
      3.4099        0.991977        0.008023
      3.4144        0.998278        0.001722
      3.4189        0.993916        0.006084
      3.4234        0.996754        0.003246
      3.4279        0.995930        0.004070
      3.4324        0.995287        0.004713
      3.4369        0.997705        0.002295
      3.4414        0.994145        0.005855
      3.4459        0.999024        0.000976
      3.4505        0.993486        0.006514
      3.4550        0.999788        0.000212
      3.4595        0.993354        0.006646
      3.4640        0.999998        0.000002
      3.4685        0.993707        0.006293
      3.4730        0.999735        0.000265
      3.4775        0.994441        0.005559
      3.4820        0.999130        0.000870
      3.4865        0.995419        0.004581
