,Date,Model,Ticker,Weight
261,2003-01-02,Equal-Weight,T,0.02
262,2003-01-02,Equal-Weight,JPM,0.02
263,2003-01-02,Equal-Weight,JNJ,0.02
264,2003-01-02,Equal-Weight,INTC,0.02
265,2003-01-02,Equal-Weight,GE,0.02
266,2003-01-02,Equal-Weight,MS,0.02
267,2003-01-02,Equal-Weight,RTX,0.02
268,2003-01-02,Equal-Weight,TXN,0.02
269,2003-01-02,Equal-Weight,IBM,0.02
270,2003-01-02,Equal-Weight,SPGI,0.02
271,2003-01-02,Equal-Weight,LMT,0.02
272,2003-01-02,Equal-Weight,ADP,0.02
273,2003-01-02,Equal-Weight,COF,0.02
274,2003-01-02,Equal-Weight,WDC,0.02
275,2003-01-02,Equal-Weight,ABT,0.02
276,2003-01-02,Equal-Weight,GILD,0.02
277,2003-01-02,Equal-Weight,UNP,0.02
278,2003-01-02,Equal-Weight,ADI,0.02
279,2003-01-02,Equal-Weight,TMUS,0.02
280,2003-01-02,Equal-Weight,MMM,0.02
281,2003-01-02,Equal-Weight,ADBE,0.02
282,2003-01-02,Equal-Weight,AXP,0.02
283,2003-01-02,Equal-Weight,BA,0.02
284,2003-01-02,Equal-Weight,CVX,0.02
285,2003-01-02,Equal-Weight,CSCO,0.02
286,2003-01-02,Equal-Weight,DD,0.02
287,2003-01-02,Equal-Weight,XOM,0.02
288,2003-01-02,Equal-Weight,FDX,0.02
289,2003-01-02,Equal-Weight,GS,0.02
290,2003-01-02,Equal-Weight,GM,0.02
291,2003-01-02,Equal-Weight,HAS,0.02
292,2003-01-02,Equal-Weight,JBL,0.02
293,2003-01-02,Equal-Weight,KMB,0.02
294,2003-01-02,Equal-Weight,KLAC,0.02
295,2003-01-02,Equal-Weight,LOW,0.02
296,2003-01-02,Equal-Weight,MKC,0.02
297,2003-01-02,Equal-Weight,NEM,0.02
298,2003-01-02,Equal-Weight,OLN,0.02
299,2003-01-02,Equal-Weight,PH,0.02
300,2003-01-02,Markowitz,PPG,0.0
301,2003-01-02,Markowitz,DELL,0.0
302,2003-01-02,Markowitz,QCOM,0.0
303,2003-01-02,Markowitz,AMAT,0.0
304,2003-01-02,Markowitz,MRK,0.0
305,2003-01-02,Markowitz,AME,0.2255
306,2003-01-02,Markowitz,PG,0.08656
307,2003-01-02,Markowitz,CL,0.0
308,2003-01-02,Markowitz,V,0.0
309,2003-01-02,Markowitz,MA,0.0
310,2003-01-02,Markowitz,MU,0.0
311,2003-01-02,Markowitz,T,0.0
312,2003-01-02,Markowitz,JPM,0.0
313,2003-01-02,Markowitz,JNJ,0.0
314,2003-01-02,Markowitz,INTC,0.0
