Date,Simulated (Max Sharpe Ratio),Equal-Weight,Markowitz,Black-Litterman,Risk-Parity
2022-11-04,1081580.0115569779,1124212.3534494187,951274.2307404606,1122409.6844994577,1112239.0106794382
2022-11-07,1094467.5479815842,1138225.7166973397,962272.443437241,1138196.9984515994,1125550.197726026
2022-11-08,1103370.4316919642,1149000.143732736,968660.6905453444,1146879.6923513825,1135639.147595929
2022-11-09,1082828.570202339,1128099.7795620796,948702.386759631,1127410.2995709532,1118681.5239866257
2022-11-10,1134708.28380613,1181199.0748569882,1002084.4281419067,1174860.019002675,1163875.410085584
2022-11-11,1138927.9317534554,1190976.818180161,1006415.6964550912,1175011.4800326647,1167608.2916211623
2022-11-14,1134850.1945340526,1184361.7183350201,1005296.6888047906,1172836.0424241542,1162642.6735119498
2022-11-15,1140495.7610701118,1190774.6448659224,1007272.2166992566,1182056.3917371666,1168749.3947981908
2022-11-16,1131133.4494484912,1176698.5316060043,1004082.1091359848,1175478.2949712789,1160477.4438813596
2022-11-17,1132037.9604577704,1179097.4960150279,1001905.0605235324,1177450.841834142,1163290.561165791
2022-11-18,1139817.9854155837,1186498.1762410626,1008131.0971036108,1183450.3405876,1172109.2770089002
2022-11-21,1137365.345116311,1184403.881240155,1006696.7141969051,1181311.1395807674,1173391.2028444733
2022-11-22,1157942.3252472472,1203823.538149666,1026307.4607525134,1199034.7782099957,1190192.2269241118
2022-11-23,1160771.3996193006,1207129.0498649436,1025131.7274009666,1204069.4041319115,1192905.1940104587
2022-11-25,1161402.2760841975,1207948.0790264714,1026565.5991183929,1205812.1886420627,1194482.028195997
2022-11-28,1142089.6309329085,1186034.860195734,1007668.7100267947,1188181.7404220381,1176687.3386720445
2022-11-29,1143704.1178513542,1190457.5148287534,1009399.676496362,1188089.817837687,1180023.9042923264
2022-11-30,1167268.7185671665,1217792.6589797288,1027952.4597236995,1215578.606980986,1205201.1170383182
2022-12-01,1167880.1687629838,1216018.836517594,1032618.158247417,1215212.70954764,1205585.000847101
2022-12-02,1168024.4097238278,1217145.5465171582,1032866.0118988306,1218558.5418295793,1208563.958540008
2022-12-05,1147084.805607703,1198345.5939418527,1007300.1092246335,1196996.1996404727,1190970.2797676532
2022-12-06,1133145.1564673025,1183916.5763969948,994832.5112787001,1186843.8578259526,1178744.3526301924
2022-12-07,1136703.5284168448,1184669.433872525,1000880.4808241278,1187458.544503638,1180833.8798396457
2022-12-08,1142584.8709900798,1191471.0511938252,1003295.3362753926,1196341.2030575934,1187463.3163543642
2022-12-09,1133186.3177157638,1182059.2644594274,992052.9634748282,1186476.4927239446,1178180.689431958
2022-12-12,1150927.9088540864,1200569.8643421258,1009097.2406225242,1203248.0034652601,1194405.1256836208
2022-12-13,1161672.3705736627,1208883.6561540274,1020286.1676547736,1208118.3769641337,1202170.573991436
2022-12-14,1156538.4508205734,1201928.45016523,1016329.5283376629,1206163.7035796028,1198401.1242371688
2022-12-15,1124445.7354109278,1168510.701339179,988249.3492913881,1176258.7270988945,1168583.174003422
2022-12-16,1118606.376507313,1161783.1771974054,982000.6020050759,1171392.960946569,1162321.726401093
2022-12-19,1113274.9107101986,1153944.638552209,976085.3214485531,1165775.248325802,1155376.3100229416
2022-12-20,1116394.3928031274,1156777.452497783,973075.5511544144,1168947.8205566457,1157303.995313255
2022-12-21,1131653.0367461892,1173414.6734080662,986389.8438454535,1181808.8667514818,1172676.8339489484
2022-12-22,1116972.2505228887,1158050.5317702992,973773.8225598178,1171365.642922598,1162114.2703149377
2022-12-23,1125175.365615582,1164845.6105166392,983571.156489932,1175621.6890129691,1167528.8447901537
2022-12-27,1128895.8593293186,1167685.131635426,987777.885750279,1179636.3715800385,1171501.796844679
2022-12-28,1116278.7304856435,1152751.4323916559,977233.5178618092,1168079.972988379,1157130.304722789
2022-12-29,1130475.2994494727,1169278.5376296588,988011.3643402591,1183419.0656957685,1171504.7517429248
2022-12-30,1127966.1065652738,1167582.986755663,983388.1770585491,1180673.9792314295,1168708.3990684296
2023-01-03,1124405.2932778916,1167611.251244377,975035.6220501905,1180663.272604147,1170382.7918637202
2023-01-04,1136929.4583227444,1187540.9062201886,977707.6805347026,1198926.2005925633,1186754.4249643122
2023-01-05,1137653.4631590727,1182175.8548061943,989561.4817474093,1197442.0918968574,1182292.2978918105
2023-01-06,1162393.6741335583,1215720.1403132828,997426.1535126515,1226451.9371374354,1211163.336208913
2023-01-09,1155866.4892351106,1214025.45166466,968339.1026299387,1213261.921423464,1203498.536676652
2023-01-10,1166868.1677136074,1224202.4745141387,978479.6573883764,1221397.5402134135,1212305.4731935314
2023-01-11,1175923.9981401318,1234406.1393251657,983008.7921547018,1227654.8347056655,1219382.972447432
