,Model,Ticker,Mean,Std,Minimum,Maximum,Range,Coefficient of Variation
93,Equal-Weight,T,0.02,0.0,0.02,0.02,0.0,0.0
94,Equal-Weight,TMUS,0.02,0.0,0.02,0.02,0.0,0.0
95,Equal-Weight,TXN,0.02,0.0,0.02,0.02,0.0,0.0
96,Equal-Weight,UNP,0.02,0.0,0.02,0.02,0.0,0.0
97,Equal-Weight,V,0.02,0.0,0.02,0.02,0.0,0.0
98,Equal-Weight,WDC,0.02,0.0,0.02,0.02,0.0,0.0
99,Equal-Weight,XOM,0.02,0.0,0.02,0.02,0.0,0.0
100,Markowitz,ABT,0.0059099999999999995,0.020472840545464128,0.0,0.07092,0.07092,3.4641016151377544
101,Markowitz,ADBE,0.0,0.0,0.0,0.0,0.0,
102,Markowitz,ADI,0.0,0.0,0.0,0.0,0.0,
103,Markowitz,ADP,0.0,0.0,0.0,0.0,0.0,
104,Markowitz,AMAT,0.18694,0.045461623376206,0.15767,0.3,0.14232999999999998,0.24318831377022576
105,Markowitz,AME,0.0,0.0,0.0,0.0,0.0,
106,Markowitz,AXP,0.0,0.0,0.0,0.0,0.0,
107,Markowitz,BA,0.0,0.0,0.0,0.0,0.0,
108,Markowitz,CL,0.0012291666666666666,0.00425795823527349,0.0,0.01475,0.01475,3.464101615137755
109,Markowitz,COF,0.013835,0.04792584584543083,0.0,0.16602,0.16602,3.4641016151377544
110,Markowitz,CSCO,0.0,0.0,0.0,0.0,0.0,
111,Markowitz,CVX,0.0,0.0,0.0,0.0,0.0,
112,Markowitz,DD,0.0,0.0,0.0,0.0,0.0,
113,Markowitz,DELL,0.24481,0.11865594464669689,0.0,0.33772,0.33772,0.48468585697764344
114,Markowitz,FDX,0.07672166666666666,0.03721689788091947,0.0,0.12335,0.12335,0.48508979924297096
115,Markowitz,GE,0.0045516666666666665,0.015767435851568683,0.0,0.05462,0.05462,3.4641016151377557
116,Markowitz,GILD,0.0,0.0,0.0,0.0,0.0,
117,Markowitz,GM,0.13764583333333333,0.06440459222169195,0.0,0.17569,0.17569,0.4679007759408527
118,Markowitz,GS,0.008831666666666666,0.030593790764358274,0.0,0.10598,0.10598,3.4641016151377553
119,Markowitz,HAS,0.0,0.0,0.0,0.0,0.0,
120,Markowitz,IBM,0.0,0.0,0.0,0.0,0.0,
121,Markowitz,INTC,0.0,0.0,0.0,0.0,0.0,
122,Markowitz,JBL,0.0,0.0,0.0,0.0,0.0,
123,Markowitz,JNJ,0.0,0.0,0.0,0.0,0.0,
124,Markowitz,JPM,0.0,0.0,0.0,0.0,0.0,
125,Markowitz,KLAC,0.006365,0.02204900678035181,0.0,0.07638,0.07638,3.464101615137755
126,Markowitz,KMB,0.011051666666666666,0.038284096349964075,0.0,0.13262,0.13262,3.464101615137754
127,Markowitz,LMT,0.0,0.0,0.0,0.0,0.0,
128,Markowitz,LOW,0.17942333333333335,0.08410910050570501,0.0,0.22492,0.22492,0.4687745954950397
129,Markowitz,MA,0.0,0.0,0.0,0.0,0.0,
130,Markowitz,MKC,0.0,0.0,0.0,0.0,0.0,
131,Markowitz,MMM,0.0,0.0,0.0,0.0,0.0,
132,Markowitz,MRK,0.0,0.0,0.0,0.0,0.0,
133,Markowitz,MS,0.024385,0.013988151804619898,0.0,0.05182,0.05182,0.5736375560639695
134,Markowitz,MU,0.0,0.0,0.0,0.0,0.0,
135,Markowitz,NEM,0.024999999999999998,0.08660254037844387,0.0,0.3,0.3,3.464101615137755
136,Markowitz,OLN,0.050852499999999995,0.06859182924107188,0.0,0.26635,0.26635,1.3488388818852934
137,Markowitz,PG,0.0,0.0,0.0,0.0,0.0,
138,Markowitz,PH,0.00079,0.002736640275958826,0.0,0.00948,0.00948,3.4641016151377544
139,Markowitz,PPG,0.0006016666666666667,0.0020842344717745486,0.0,0.00722,0.00722,3.464101615137754
140,Markowitz,QCOM,0.0,0.0,0.0,0.0,0.0,
141,Markowitz,RTX,0.0,0.0,0.0,0.0,0.0,
142,Markowitz,SPGI,0.0,0.0,0.0,0.0,0.0,
143,Markowitz,T,0.0,0.0,0.0,0.0,0.0,
144,Markowitz,TMUS,0.02105833333333333,0.07294820651210919,0.0,0.2527,0.2527,3.4641016151377535
145,Markowitz,TXN,0.0,0.0,0.0,0.0,0.0,
146,Markowitz,UNP,0.0,0.0,0.0,0.0,0.0,
147,Markowitz,V,0.0,0.0,0.0,0.0,0.0,
148,Markowitz,WDC,0.0,0.0,0.0,0.0,0.0,
149,Markowitz,XOM,0.0,0.0,0.0,0.0,0.0,
150,Risk-Parity,ABT,0.028523772559502017,0.002032044941011388,0.02461687812924259,0.03399308103597481,0.009376202906732217,0.07124039910122129
151,Risk-Parity,ADBE,0.024504956545457212,0.001315836528089155,0.020375500261963102,0.024943826415417675,0.004568326153454573,0.05369675011046236
152,Risk-Parity,ADI,0.015030024321709544,0.0004300926765127753,0.014134731304019658,0.01613848416191254,0.0020037528578928827,0.028615567567082667
153,Risk-Parity,ADP,0.02006965281405762,0.0019504088865403668,0.01855071226098403,0.02618710579795815,0.00763639353697412,0.09718199435788043
154,Risk-Parity,AMAT,0.011903340576110253,0.0008877020328978009,0.00937507647423405,0.013374495401490107,0.003999418927256058,0.0745758744968954
155,Risk-Parity,AME,0.016780210233255197,0.0007262867084503971,0.014475863051654693,0.017083463736756323,0.00260760068510163,0.04328233665458103
156,Risk-Parity,AXP,0.012343909811881213,0.0004147151591252228,0.012199320291734823,0.0136314402387428,0.0014321199470079763,0.03359674247830721
157,Risk-Parity,BA,0.009292074855264645,0.0008606685091030402,0.008954878392627492,0.01179235620543794,0.002837477812810447,0.09262393195373454
158,Risk-Parity,CL,0.04230740625135299,0.003240601368262685,0.03204287222378589,0.04331300692031018,0.01127013469652429,0.07659655023543427
159,Risk-Parity,COF,0.011121396805637618,0.0008864362258446447,0.010756173398914295,0.013513275625817854,0.0027571022269035593,0.07970547597000548
160,Risk-Parity,CSCO,0.01939471912959856,0.0006469914592252045,0.017408069878153003,0.020096689325182198,0.0026886194470291946,0.033359155907435725
161,Risk-Parity,CVX,0.013621604579256485,0.00044478015806060907,0.012702814568046296,0.014773351641585029,0.002070537073538733,0.03265255245611356
162,Risk-Parity,DD,0.01434240231363731,0.0006768431355514067,0.013293429437432084,0.01630589516030664,0.003012465722874556,0.04719175496198696
163,Risk-Parity,DELL,0.01816098163608499,0.0007304661478051007,0.015877353381212087,0.01840907479015111,0.002531721408939022,0.040221732637717104
164,Risk-Parity,FDX,0.015204636428448165,0.0010997102075542187,0.014737623365755955,0.017869031290446025,0.0031314079246900703,0.07232729389679057
165,Risk-Parity,GE,0.01332348633031581,0.0012002958022810661,0.01282955436701264,0.01657086173763515,0.0037413073706225094,0.09008871796190113
166,Risk-Parity,GILD,0.03192808700631148,0.0019384288709677375,0.030123335012783727,0.03795260360713304,0.007829268594349313,0.06071233990888814
167,Risk-Parity,GM,0.01259336569936028,0.0007989732594050541,0.01176457062125363,0.015056671820265826,0.003292101199012196,0.06344398141678999
168,Risk-Parity,GS,0.015242636850787339,0.0007148287851150776,0.014973776858124222,0.017388073622966245,0.002414296764842023,0.046896661785795546
169,Risk-Parity,HAS,0.021167422704689586,0.004573018297520072,0.018522119309277982,0.035627087828261086,0.017104968518983105,0.21604039194185562
170,Risk-Parity,IBM,0.01752474515476712,0.0006943985643707549,0.01728273155474373,0.01968081740234412,0.0023980858476003904,0.039623889433956366
171,Risk-Parity,INTC,0.016431625358112777,0.0009491791010895515,0.013431398553083472,0.01699149724722244,0.0035600986941389696,0.05776538111130399
172,Risk-Parity,JBL,0.011605788079368018,0.0008094017760904818,0.011098627900088885,0.014161121841615035,0.00306249394152615,0.06974121624100489
173,Risk-Parity,JNJ,0.03412246206874096,0.0021367610225795607,0.028220319871488497,0.0349923384524694,0.0067720185809809035,0.06262036479885234
174,Risk-Parity,JPM,0.015234336803733844,0.0001932243788543913,0.015151701254201606,0.015669585161157892,0.0005178839069562863,0.012683478207402713
175,Risk-Parity,KLAC,0.012668536799009018,0.0006947553934634483,0.010612259308636617,0.013651409486442442,0.0030391501778058248,0.054841013171923275
176,Risk-Parity,KMB,0.05525848029910262,0.005785003405540082,0.036937779203492276,0.05826134914493875,0.021323569941446477,0.1046898751870675
177,Risk-Parity,LMT,0.025458597786193735,0.00119897259275005,0.024247741615348612,0.029163296218058982,0.00491555460271037,0.047094997250801296
178,Risk-Parity,LOW,0.022664547543216885,0.0016146915936156164,0.017553092570564897,0.023169380326886896,0.005616287756321999,0.07124305440188972
179,Risk-Parity,MA,0.015370326288912292,0.0009015288367022353,0.012715991233846822,0.016679466110001675,0.003963474876154853,0.058653851568041995
180,Risk-Parity,MKC,0.036709786398990085,0.0018937421878574357,0.030698533601229646,0.03741773290053881,0.006719199299309166,0.05158684845710609
181,Risk-Parity,MMM,0.022706013018551238,0.0031590178003709705,0.02163033921714158,0.032575978649925945,0.010945639432784364,0.13912692632519827
