,Parameter,Parameter Value,Scenario,Model,Calibration End,Validation Start,Validation End,Annualized Return,Gross Return,Annualized Volatility,Sharpe Ratio,Sortino Ratio,Maximum Drawdown,Calmar Ratio,VaR 95%,CVaR 95%,Terminal Growth,Initial Turnover,Initial Transaction Cost Rate,HHI,Effective Holdings,Active Holdings (>1%),Maximum Weight,Validation Days
37,Risk-Free Rate,0.05,Risk-Free Rate=0.05,Markowitz,2021-04-28,2021-04-29,2026-08-31,-0.01049803342897171,0.2732498354682553,0.2793093591156291,-0.21659866185839696,-0.34007532827621595,-0.5520244439672014,-0.019017334365714157,-0.02682010150233627,-0.036683196647899916,0.9453880153952612,1.0,0.001,0.2021239084,4.9474602382070305,7,0.3,1341
38,Risk-Free Rate,0.05,Risk-Free Rate=0.05,Black-Litterman,2021-04-28,2021-04-29,2026-08-31,-0.09398901059735987,0.16581713039630896,0.17335820851277095,-0.8305866323413954,-1.162741562332007,-0.5075794149825061,-0.18517104481197139,-0.017481748900858185,-0.025456755832765167,0.5914101834217971,0.9999999999999999,0.0009999999999999998,0.09542058273852219,10.479919230217513,16,0.1594868102637947,1341
39,Risk-Free Rate,0.05,Risk-Free Rate=0.05,Risk-Parity,2021-04-28,2021-04-29,2026-08-31,-0.10546339439425279,0.15105237218959133,0.14429233893104948,-1.0774196020797848,-1.5552275067718973,-0.5383779531615456,-0.19589099771811694,-0.014508518895471778,-0.020637181592408984,0.5526279392171244,1.0,0.001,0.02477542063880252,40.36258413444775,48,0.056790263524080044,1341
40,Risk-Free Rate,0.08,Risk-Free Rate=0.08,Simulated (Max Sharpe Ratio),2021-04-28,2021-04-29,2026-08-31,-0.08613409487490076,0.1759245081369476,0.18716131722263868,-0.8876518788189288,-1.3175311447547824,-0.553354018806312,-0.15565820785165363,-0.01784879759476088,-0.025837857618787794,0.6192113150315903,0.9999999999999998,0.0009999999999999998,0.046828455963607504,21.354537095503318,27,0.08043631424699928,1341
41,Risk-Free Rate,0.08,Risk-Free Rate=0.08,Equal-Weight,2021-04-28,2021-04-29,2026-08-31,-0.08363099259420281,0.1791453956892013,0.16815974212349222,-0.9730687650200868,-1.4073249887661323,-0.5375993442041347,-0.1555637920615596,-0.016694938738641474,-0.023849392082636048,0.6282902246158959,1.0,0.001,0.020000000000000004,49.99999999999999,50,0.02,1341
42,Risk-Free Rate,0.08,Risk-Free Rate=0.08,Markowitz,2021-04-28,2021-04-29,2026-08-31,-0.010484331139069103,0.2732706788530048,0.28058679351217225,-0.32248250178297777,-0.506466874526224,-0.5543614647750947,-0.018912445769156433,-0.027025862667429013,-0.036849313761498234,0.9454576825083124,1.00001,0.0010000100000000002,0.20233755089999997,4.942236354804076,7,0.3,1341
43,Risk-Free Rate,0.08,Risk-Free Rate=0.08,Black-Litterman,2021-04-28,2021-04-29,2026-08-31,-0.07788461376053757,0.18653959615739946,0.22051589326168064,-0.715978387885085,-0.9861001280632061,-0.5341666509046601,-0.1458058334952825,-0.022334336400648303,-0.03294223664203072,0.6495421259013429,0.9999999999999998,0.0009999999999999998,0.17223068890355153,5.80616617378797,9,0.2737645247095058,1341
44,Risk-Free Rate,0.08,Risk-Free Rate=0.08,Risk-Parity,2021-04-28,2021-04-29,2026-08-31,-0.10546339439425279,0.15105237218959133,0.14429233893104948,-1.2853308482502113,-1.8553420474645828,-0.5383779531615456,-0.19589099771811694,-0.014508518895471778,-0.020637181592408984,0.5526279392171244,1.0,0.001,0.02477542063880252,40.36258413444775,48,0.056790263524080044,1341
45,Monte Carlo Simulations,5000.0,Monte Carlo Simulations=5000,Simulated (Max Sharpe Ratio),2021-04-28,2021-04-29,2026-08-31,-0.049551337943701035,0.22299767303932638,0.21584985261161624,-0.4612064207559415,-0.6866135126249107,-0.5170202634526908,-0.09584022415832287,-0.02133197118298058,-0.0304194271242093,0.7630429080118949,1.0000000000000002,0.0010000000000000002,0.060236240558644426,16.601301653718348,29,0.18549765443470378,1341
46,Monte Carlo Simulations,5000.0,Monte Carlo Simulations=5000,Equal-Weight,2021-04-28,2021-04-29,2026-08-31,-0.08363099259420281,0.1791453956892013,0.16815974212349222,-0.7946669690779355,-1.1493069385567383,-0.5375993442041347,-0.1555637920615596,-0.016694938738641474,-0.023849392082636048,0.6282902246158959,1.0,0.001,0.020000000000000004,49.99999999999999,50,0.02,1341
47,Monte Carlo Simulations,5000.0,Monte Carlo Simulations=5000,Markowitz,2021-04-28,2021-04-29,2026-08-31,-0.01049803342897171,0.2732498354682553,0.2793093591156291,-0.21659866185839696,-0.34007532827621595,-0.5520244439672014,-0.019017334365714157,-0.02682010150233627,-0.036683196647899916,0.9453880153952612,1.0,0.001,0.2021239084,4.9474602382070305,7,0.3,1341
48,Monte Carlo Simulations,5000.0,Monte Carlo Simulations=5000,Black-Litterman,2021-04-28,2021-04-29,2026-08-31,-0.09398901059735987,0.16581713039630896,0.17335820851277095,-0.8305866323413954,-1.162741562332007,-0.5075794149825061,-0.18517104481197139,-0.017481748900858185,-0.025456755832765167,0.5914101834217971,0.9999999999999999,0.0009999999999999998,0.09542058273852219,10.479919230217513,16,0.1594868102637947,1341
49,Monte Carlo Simulations,5000.0,Monte Carlo Simulations=5000,Risk-Parity,2021-04-28,2021-04-29,2026-08-31,-0.10546339439425279,0.15105237218959133,0.14429233893104948,-1.0774196020797848,-1.5552275067718973,-0.5383779531615456,-0.19589099771811694,-0.014508518895471778,-0.020637181592408984,0.5526279392171244,1.0,0.001,0.02477542063880252,40.36258413444775,48,0.056790263524080044,1341
50,Monte Carlo Simulations,10000.0,Monte Carlo Simulations=10000,Simulated (Max Sharpe Ratio),2021-04-28,2021-04-29,2026-08-31,-0.07511692782132973,0.19010093891949276,0.20666102945971915,-0.6054210034104015,-0.9121108639481782,-0.5727042760452636,-0.13116180717217635,-0.02040468106638993,-0.028207417203827172,0.6599841295839789,0.9999999999999998,0.0009999999999999998,0.04937308225328782,20.253951229334252,29,0.12043812079169251,1341
51,Monte Carlo Simulations,10000.0,Monte Carlo Simulations=10000,Equal-Weight,2021-04-28,2021-04-29,2026-08-31,-0.08363099259420281,0.1791453956892013,0.16815974212349222,-0.7946669690779355,-1.1493069385567383,-0.5375993442041347,-0.1555637920615596,-0.016694938738641474,-0.023849392082636048,0.6282902246158959,1.0,0.001,0.020000000000000004,49.99999999999999,50,0.02,1341
52,Monte Carlo Simulations,10000.0,Monte Carlo Simulations=10000,Markowitz,2021-04-28,2021-04-29,2026-08-31,-0.01049803342897171,0.2732498354682553,0.2793093591156291,-0.21659866185839696,-0.34007532827621595,-0.5520244439672014,-0.019017334365714157,-0.02682010150233627,-0.036683196647899916,0.9453880153952612,1.0,0.001,0.2021239084,4.9474602382070305,7,0.3,1341
53,Monte Carlo Simulations,10000.0,Monte Carlo Simulations=10000,Black-Litterman,2021-04-28,2021-04-29,2026-08-31,-0.09398901059735987,0.16581713039630896,0.17335820851277095,-0.8305866323413954,-1.162741562332007,-0.5075794149825061,-0.18517104481197139,-0.017481748900858185,-0.025456755832765167,0.5914101834217971,0.9999999999999999,0.0009999999999999998,0.09542058273852219,10.479919230217513,16,0.1594868102637947,1341
54,Monte Carlo Simulations,10000.0,Monte Carlo Simulations=10000,Risk-Parity,2021-04-28,2021-04-29,2026-08-31,-0.10546339439425279,0.15105237218959133,0.14429233893104948,-1.0774196020797848,-1.5552275067718973,-0.5383779531615456,-0.19589099771811694,-0.014508518895471778,-0.020637181592408984,0.5526279392171244,1.0,0.001,0.02477542063880252,40.36258413444775,48,0.056790263524080044,1341
55,Monte Carlo Simulations,20000.0,Monte Carlo Simulations=20000,Simulated (Max Sharpe Ratio),2021-04-28,2021-04-29,2026-08-31,-0.08613409487490076,0.1759245081369476,0.18716131722263868,-0.7273623465310503,-1.0796152950768063,-0.553354018806312,-0.15565820785165363,-0.01784879759476088,-0.025837857618787794,0.6192113150315903,0.9999999999999998,0.0009999999999999998,0.046828455963607504,21.354537095503318,27,0.08043631424699928,1341
56,Monte Carlo Simulations,20000.0,Monte Carlo Simulations=20000,Equal-Weight,2021-04-28,2021-04-29,2026-08-31,-0.08363099259420281,0.1791453956892013,0.16815974212349222,-0.7946669690779355,-1.1493069385567383,-0.5375993442041347,-0.1555637920615596,-0.016694938738641474,-0.023849392082636048,0.6282902246158959,1.0,0.001,0.020000000000000004,49.99999999999999,50,0.02,1341
57,Monte Carlo Simulations,20000.0,Monte Carlo Simulations=20000,Markowitz,2021-04-28,2021-04-29,2026-08-31,-0.01049803342897171,0.2732498354682553,0.2793093591156291,-0.21659866185839696,-0.34007532827621595,-0.5520244439672014,-0.019017334365714157,-0.02682010150233627,-0.036683196647899916,0.9453880153952612,1.0,0.001,0.2021239084,4.9474602382070305,7,0.3,1341
58,Monte Carlo Simulations,20000.0,Monte Carlo Simulations=20000,Black-Litterman,2021-04-28,2021-04-29,2026-08-31,-0.09398901059735987,0.16581713039630896,0.17335820851277095,-0.8305866323413954,-1.162741562332007,-0.5075794149825061,-0.18517104481197139,-0.017481748900858185,-0.025456755832765167,0.5914101834217971,0.9999999999999999,0.0009999999999999998,0.09542058273852219,10.479919230217513,16,0.1594868102637947,1341
59,Monte Carlo Simulations,20000.0,Monte Carlo Simulations=20000,Risk-Parity,2021-04-28,2021-04-29,2026-08-31,-0.10546339439425279,0.15105237218959133,0.14429233893104948,-1.0774196020797848,-1.5552275067718973,-0.5383779531615456,-0.19589099771811694,-0.014508518895471778,-0.020637181592408984,0.5526279392171244,1.0,0.001,0.02477542063880252,40.36258413444775,48,0.056790263524080044,1341
