Ticker,Simple Mean (Daily) Returns,Log Mean (Daily) Returns,Median Returns,Variance of Returns,Standard Deviation of Returns,Minimum Returns,Maximum Returns,(Simple) Annual Returns,Daily Volatility,Annual Volatility,Skewness,Kurtosis
SPGI,0.0006547485414548328,0.0004792577330714485,0.0008013523412035983,0.0003515179152646521,0.018748811036027112,-0.15189346531720338,0.2384230388304569,0.16499663244661786,0.018748811036027112,0.297628148276826,0.31100768056155975,12.348950349170536
SPY,0.00039147765852644214,0.0003177558008672633,0.0006911229716295431,0.00014731488470795474,0.012137334332873704,-0.10942379371744604,0.14519813935577552,0.09865236994866342,0.012137334332873704,0.19267420934417923,0.040125183916006564,12.081952831134075
T,0.0003455314722072101,0.0002155198808617075,0.0005250195060999552,0.0002601831728543768,0.01613019444564686,-0.12661169821224783,0.16280040221569547,0.08707393099621695,0.01613019444564686,0.2560588986137818,0.14765455906036903,7.570260675077815
TMUS,0.00044684000680686843,0.00021334043371486569,0.0,0.000458309678783499,0.021408168506051584,-0.3658837576907431,0.367834611920012,0.11260368171533085,0.021408168506051584,0.33984413935426594,-0.6070702136340029,40.018210963669596
TXN,0.0006028244162754257,0.00031776538585372095,0.00058310159542585,0.0005730021901520502,0.023937464154585177,-0.18224351171710096,0.24067773879326837,0.15191175290140727,0.023937464154585177,0.37999546302333226,0.441382698543883,6.884112190466041
UNP,0.0007264106308552193,0.0005748580293997288,0.0005246953361199846,0.0003025482264362656,0.017393913488236785,-0.14008878161108407,0.1300419357757061,0.18305547897551527,0.017393913488236785,0.27611981649627926,-0.03704801248273408,5.285394895453717
V,0.0006206414665888277,0.0005103472846027725,0.0,0.00022098941980105784,0.014865712892460215,-0.13643479354575827,0.14997387752866587,0.15640164958038458,0.014865712892460215,0.2359858762508184,0.41546671524069856,14.896787818168692
WDC,0.0014361151066315482,0.0007822263228988389,0.0005808575321114562,0.0013217299974752053,0.03635560476013575,-0.3207547147321538,0.3975907190851826,0.3619010068711501,0.03635560476013575,0.5771273337520515,0.7138261608050462,10.204048167665299
XOM,0.0004730285654769188,0.00033604166340203684,0.0004668174466470054,0.00027413933687881343,0.016557153646651147,-0.13952477069217528,0.1719051430598153,0.11920319850018353,0.016557153646651147,0.26283666580875087,0.17158261216190548,8.624523629194595
^GSPC,0.0003218355776779831,0.00024824905323543475,0.0006351081598752195,0.00014689601132588206,0.012120066473657728,-0.11984055240393443,0.11580036951513706,0.08110256557485174,0.012120066473657728,0.19240009057721955,-0.12123929130542062,10.528971277997648
