,Model,Ticker,Mean Weight,Average Active Weight,Annualized Asset Return,Annualized Contribution,Total Arithmetic Contribution,Contribution Share of Arithmetic Gross Return,Positive Contribution Days,Negative Contribution Days,Contribution Volatility
49,Black-Litterman,XOM,0.021312981792692587,0.021312981792692587,0.31709764675706065,0.0041338520055562746,0.023293927967817103,0.022203891113495387,500,415,0.006945027226467458
50,Equal-Weight,ABT,0.018257215480956962,0.018257215480956962,0.047634863094408,0.0005024794884320331,0.0028314320379900274,0.0024612634757101813,724,694,0.004143705195554803
51,Equal-Weight,ADBE,0.01776963184720464,0.01776963184720464,-0.022546846405223857,-0.0004857439689327043,-0.0027371287138271434,-0.0023792889397559543,720,698,0.006376735836663242
52,Equal-Weight,ADI,0.020193647929839843,0.020193647929839843,0.23314478332260657,0.0041287757465202374,0.023265323651026737,0.020223720924446936,746,673,0.006747768783956328
53,Equal-Weight,ADP,0.0191340799975004,0.0191340799975004,0.13983873500759025,0.0024930922357665943,0.014048376884081603,0.012211755907920908,744,674,0.00427034250352386
54,Equal-Weight,AMAT,0.02247321112047733,0.02247321112047733,0.4136165172681757,0.008626749852855367,0.048611050758153265,0.04225586280780713,745,675,0.011053054669121827
55,Equal-Weight,AME,0.01909776253992706,0.01909776253992706,0.151775427366502,0.0027433110481602397,0.01545834003328389,0.01343738688004637,745,669,0.00413955479338994
56,Equal-Weight,AXP,0.020621544772553357,0.020621544772553357,0.23730633078679256,0.004579120510377982,0.0258029806537172,0.022429616178438624,747,672,0.006008698543910359
57,Equal-Weight,BA,0.01781174889310582,0.01781174889310582,0.07108335578606524,0.0009398952729277418,0.005296235268084894,0.004603829528382056,702,716,0.00643666552894679
58,Equal-Weight,CL,0.018758617861725665,0.018758617861725665,0.052686715243476345,0.0007649407071100496,0.0043103801749852,0.0037468606517030937,733,677,0.0035807622044055016
59,Equal-Weight,COF,0.020180282793336016,0.020180282793336016,0.2178132054219024,0.004140100482314512,0.023329137638438916,0.020279192161033115,743,672,0.006968912856313238
60,Equal-Weight,CSCO,0.019594471848480833,0.019594471848480833,0.22233828767371724,0.004214533052241409,0.023748559262630156,0.020643780507387265,752,658,0.005038607310985256
61,Equal-Weight,CVX,0.021246188693486507,0.021246188693486507,0.23263608171315198,0.004813133058249489,0.02712162278854871,0.023575865030767508,782,638,0.006008752426643417
62,Equal-Weight,DD,0.018690536617790004,0.018690536617790004,0.13927896765313355,0.002039982186648097,0.01149513771841388,0.009992315632154403,710,704,0.005630356545027986
63,Equal-Weight,DELL,0.023875856665167897,0.023875856665167897,0.5879717655475661,0.014278982327425603,0.08046093216247761,0.06994183540201868,732,686,0.01489677966320355
64,Equal-Weight,FDX,0.019477317975822788,0.019477317975822788,0.1549556930763913,0.002509953570504952,0.014143389167131079,0.012294346716697487,730,687,0.0062521189370856566
65,Equal-Weight,GE,0.023514440705281078,0.023514440705281078,0.38466942105356566,0.008859945413913991,0.04992508923713439,0.043398109865338444,776,636,0.007217194797526237
66,Equal-Weight,GILD,0.019326324528382025,0.019326324528382025,0.22329031147715028,0.004069678739376049,0.0229323167060079,0.019934249794666785,737,675,0.004814392705562058
67,Equal-Weight,GM,0.019459645641849193,0.019459645641849193,0.208995769391716,0.003820968378379604,0.021530853560710467,0.018716007574548686,741,674,0.007151768418115738
68,Equal-Weight,GS,0.020409682160733297,0.020409682160733297,0.30299292213926804,0.006048120592612255,0.034080679529799214,0.029625126306624734,752,668,0.00570817461975024
69,Equal-Weight,HAS,0.019521973475351267,0.019521973475351267,0.0948928888502429,0.0014624777249082352,0.008240945910197198,0.007163562078103109,720,693,0.006191880849971303
70,Equal-Weight,IBM,0.020065880393985026,0.020065880393985026,0.20545621671766792,0.0037140673046207806,0.0209284744942917,0.01819238081084173,771,648,0.005620182654785848
71,Equal-Weight,INTC,0.020528943232153884,0.020528943232153884,0.25917913036650897,0.007187839460186693,0.0405029048947028,0.035207739101610826,700,711,0.013666679207563695
72,Equal-Weight,JBL,0.02193480221820208,0.02193480221820208,0.4272494984044325,0.00896780301215847,0.050532858243115195,0.04392642191239402,765,652,0.008503147814598802
73,Equal-Weight,JNJ,0.019396195087968617,0.019396195087968617,0.1369238378565616,0.002573927112457292,0.01450387499876728,0.012607704268287188,738,679,0.0034006405095679676
74,Equal-Weight,JPM,0.019918051074243038,0.019918051074243038,0.2391850869269287,0.004665913875688459,0.02629205437887941,0.022854750626491904,767,652,0.004757287359855339
75,Equal-Weight,KLAC,0.02220401244016008,0.02220401244016008,0.45539385410487315,0.009139884130796284,0.05150252168940763,0.04476931596461539,759,661,0.010633509585669557
76,Equal-Weight,KMB,0.018560019102405935,0.018560019102405935,0.020411268349495856,0.00014343177853329598,0.0008082266885606361,0.0007025628028354916,732,687,0.003783576309807474
77,Equal-Weight,LMT,0.02006070359802117,0.02006070359802117,0.14011433378481936,0.002609686026792917,0.01470537364303945,0.012782859895156576,746,672,0.0049121065746142775
78,Equal-Weight,LOW,0.018966958873323995,0.018966958873323995,0.09683115317230437,0.0017971033377830337,0.010126534681158365,0.008802637538826675,741,676,0.004908462789837407
79,Equal-Weight,MA,0.019108211155735362,0.019108211155735362,0.12683823787898235,0.0020861345492319055,0.011755202618687722,0.010218380828765162,745,675,0.004609907558228038
80,Equal-Weight,MKC,0.017678880404351414,0.017678880404351414,-0.046786929175181825,-0.00143925341035502,-0.008110078740889398,-0.007049803888019366,717,695,0.004364875302962714
81,Equal-Weight,MMM,0.018761217411696555,0.018761217411696555,0.10460356629902513,0.0016850470465665276,0.0094951063735098,0.008253759299726104,719,694,0.005274427625795072
82,Equal-Weight,MRK,0.019327680531978357,0.019327680531978357,0.17499249023481908,0.0034230721182282346,0.01928873971382577,0.016767017506738768,736,676,0.004641231316260912
83,Equal-Weight,MS,0.020032730124698635,0.020032730124698635,0.27419798112601446,0.005083754170449231,0.028646551277928207,0.0249014312967493,760,657,0.005669762824332606
84,Equal-Weight,MU,0.023160050788253048,0.023160050788253048,0.6097030032572496,0.01625790233341224,0.09161198933906897,0.07963505401933124,742,678,0.016407019683716866
85,Equal-Weight,NEM,0.020315904446013264,0.020315904446013264,0.22276446057833088,0.004909005976525082,0.027661859074069907,0.024045473278454976,724,690,0.008410443613342774
86,Equal-Weight,OLN,0.0199568863790363,0.0199568863790363,0.06795161065829264,0.001975714055894249,0.011132991902261243,0.009677515114883121,698,720,0.009469384553664523
87,Equal-Weight,PG,0.01864386163484611,0.01864386163484611,0.051079331206517094,0.0007276814407161878,0.004100427165940423,0.0035643559453057655,754,662,0.003379257063677877
