,Date,Model,HHI,Effective Number of Holdings,Active Holdings (>1%),Maximum Weight,Minimum Weight,Allocation Change (L1)
80,2026-01-02,Risk-Parity,0.024171370053989345,41.37125854953165,48,0.045424088000364043,0.008224569843678206,0.15611609385374728
81,2002-01-02,Simulated (Max Sharpe Ratio),0.06440101549457751,15.527705461169301,27,0.18582188026320837,0.00034667250577888884,1.0
82,2003-01-02,Simulated (Max Sharpe Ratio),0.08096064673338256,12.351679987107481,27,0.2136014198185008,6.667606875852133e-05,1.110176513319329
83,2004-01-02,Simulated (Max Sharpe Ratio),0.056552384658961355,17.68272029606693,26,0.1498531984968673,0.00020490613127838037,0.8949141418793196
84,2005-01-03,Simulated (Max Sharpe Ratio),0.04771880293875975,20.956099868711224,29,0.11399981727503175,0.0003566941805621822,1.1900622964483534
85,2006-01-03,Simulated (Max Sharpe Ratio),0.05304801156630895,18.850847948372582,28,0.16350660647179147,0.0004819590782365173,1.1924365149385048
86,2007-01-03,Simulated (Max Sharpe Ratio),0.056200637474091555,17.79339247639316,24,0.16193628628436404,9.45713336671084e-05,1.2261812352430854
87,2008-01-02,Simulated (Max Sharpe Ratio),0.06238979235120622,16.028262994862594,29,0.18198140749043637,0.00020960998943910322,0.8850895251804265
88,2009-01-02,Simulated (Max Sharpe Ratio),0.0464657837407358,21.52121237381209,31,0.12203903539647122,0.00023456999675132794,1.1229807366405562
89,2010-01-04,Simulated (Max Sharpe Ratio),0.049755246892619044,20.098382833034343,31,0.1604297554863263,0.0002024399723751431,1.100573607517409
90,2011-01-03,Simulated (Max Sharpe Ratio),0.04708929562791608,21.23624884733182,27,0.09687942504736159,0.00012252513555057663,1.0924904770421633
91,2012-01-03,Simulated (Max Sharpe Ratio),0.0526621790495981,18.988959781899332,27,0.15683790950121215,0.0003794054138948726,1.1362347588302175
92,2013-01-02,Simulated (Max Sharpe Ratio),0.05966655042532523,16.759809187419588,26,0.1638666262421017,5.6712184540718225e-05,1.0765934598611449
93,2014-01-02,Simulated (Max Sharpe Ratio),0.06151262714419467,16.25682475983106,27,0.18298763884495736,8.271997341620163e-05,1.1968576651736516
94,2015-01-02,Simulated (Max Sharpe Ratio),0.05819194511869867,17.184508920611293,24,0.15236885320814156,0.0004521579223679247,1.1770290772542396
95,2016-01-04,Simulated (Max Sharpe Ratio),0.0505025479356076,19.800981155941532,29,0.13126367780674178,9.319234702316178e-05,1.1525657435954404
96,2017-01-03,Simulated (Max Sharpe Ratio),0.047688827207898236,20.969272228912764,21,0.09057328658321845,4.036330511197641e-05,1.2441802061519893
97,2018-01-02,Simulated (Max Sharpe Ratio),0.05575596659768957,17.935300220253705,32,0.17728931235310297,0.00014488284482319335,1.089551897130008
98,2019-01-02,Simulated (Max Sharpe Ratio),0.047213957824434445,21.180177347523152,27,0.12422924172915215,0.0008750904945284203,1.0218720817205527
99,2020-01-02,Simulated (Max Sharpe Ratio),0.04381127053449,22.82517689626827,32,0.10188820297039547,4.275324342528669e-05,1.1014143488762351
100,2021-01-04,Simulated (Max Sharpe Ratio),0.06609866816915336,15.128897868878328,28,0.19784381606890103,0.0001696658899983292,1.1259049968644013
101,2022-01-03,Simulated (Max Sharpe Ratio),0.04373925002935158,22.86276054868206,31,0.08995359541735211,0.0005712399803587346,1.1742489916118102
102,2023-01-03,Simulated (Max Sharpe Ratio),0.05578946680981654,17.924530510552273,29,0.15068998288150234,0.00010768780784770639,1.0146108064148538
103,2024-01-02,Simulated (Max Sharpe Ratio),0.04743727130717242,21.08047053391121,30,0.10871461021996252,0.0011342422940333102,1.0930140954265868
104,2025-01-02,Simulated (Max Sharpe Ratio),0.04970213698092333,20.119859240334474,26,0.13009856274694898,3.926500973484388e-05,0.8823780891083682
105,2026-01-02,Simulated (Max Sharpe Ratio),0.06000277667621185,16.6658954034114,28,0.18813095893821247,0.0001969739935413612,1.153159317069141
