,Rebalance Date,Next Rebalance,Model,Holding Days,Gross Return,Net Return,Annualized Gross Return,Annualized Volatility,Sharpe Ratio,Sortino Ratio,Maximum Drawdown,Calmar Ratio,"Value-at-Risk (VaR, 95%)","Conditional Value-at-Risk (CVaR, 95%)",Allocation Turnover,Transaction Cost Rate
22,2007-01-03,2008-01-02,Markowitz,251,0.33754883201930297,0.3349517402031479,0.3390995748083514,0.19101372875966582,1.5135015513575862,2.260209701581665,-0.09416788247174446,3.6010109382049653,-0.019685157226033492,-0.02573693663777724,1.9416799999999999,0.0019416799999999999
23,2007-01-03,2008-01-02,Risk-Parity,251,0.027598762481333416,0.02734763129287532,0.02771022730021344,0.12222069387600844,-0.18237314805624727,-0.2128867194751188,-0.12606696243964455,0.2198056236460834,-0.012601788895912493,-0.019663516030836745,0.2443864255457177,0.0002443864255457177
24,2008-01-02,2009-01-02,Simulated (Max Sharpe Ratio),253,-0.30073380854718323,-0.3013527217285509,-0.29974439716491175,0.4047153862032797,-0.8641737109279132,-1.2156909141510783,-0.47946433746110617,-0.6251651556654656,-0.0445157665998355,-0.06197416422496198,0.8850895251804263,0.0008850895251804263
25,2008-01-02,2009-01-02,Equal-Weight,253,-0.2713168576115653,-0.2713168576115653,-0.27040466624693105,0.39834675023208205,-0.8043360867391515,-1.1280452654246984,-0.43392497040180245,-0.623159957806862,-0.04300165545576936,-0.06105652755916835,0.0,0.0
26,2008-01-02,2009-01-02,Markowitz,253,-0.3332133936453766,-0.3342233219750934,-0.33214440029075476,0.4291485320349922,-0.890471181338202,-1.2558237512163897,-0.490177677626664,-0.6776000120995458,-0.04738159017972465,-0.06344448051322935,1.51462,0.0015146200000000002
27,2008-01-02,2009-01-02,Risk-Parity,253,-0.12899551303319912,-0.12930739973093586,-0.1285199175481998,0.25929318283097735,-0.6884867376731985,-0.963558361665334,-0.29202337644114695,-0.44010147103446395,-0.027346435611292526,-0.03982817556792517,0.35807702762002946,0.00035807702762002947
28,2009-01-02,2010-01-04,Simulated (Max Sharpe Ratio),252,0.29665425197760475,0.29519813423055097,0.29665425197760475,0.24781141665304812,0.9953304626111579,1.447114654685194,-0.2592600471913844,1.1442343515374591,-0.023868698573237725,-0.03467636457484258,1.1229807366405558,0.0011229807366405558
29,2009-01-02,2010-01-04,Equal-Weight,252,0.45792353885669046,0.45792353885669046,0.45792353885669046,0.2894585687662875,1.40926399448224,2.0570153682124683,-0.262498291005671,1.7444819815866819,-0.02736876872912653,-0.040073629292381785,0.0,0.0
30,2009-01-02,2010-01-04,Markowitz,252,0.005295021585397741,0.003354058971696272,0.005295021585397741,0.1464659541700386,-0.30522436881613,-0.5050352548057008,-0.134304507487789,0.0394254942327916,-0.01514294114337385,-0.018548951096558984,1.9307393073930743,0.0019307393073930744
31,2009-01-02,2010-01-04,Risk-Parity,252,0.2145432904305704,0.21410625195982336,0.2145432904305704,0.1457290075510598,1.1291045838826466,1.6301638050120588,-0.14513704482845313,1.4782117872397982,-0.014191685122141641,-0.0202506847650092,0.35983770540784205,0.00035983770540784206
