,Model,Ticker,Mean,Std,Minimum,Maximum,Range,Coefficient of Variation
167,Risk-Parity,GM,0.06811937000645013,0.07246842645037099,0.009890505858472199,0.22316496367046462,0.21327445781199242,1.0638446369000338
168,Risk-Parity,GS,0.011011230826367156,0.0038747014574347987,0.005339685065790342,0.016828013701014347,0.011488328635224004,0.3518863166646691
169,Risk-Parity,HAS,0.015186380423779627,0.005113462131338217,0.007262539795526724,0.028194543961336558,0.020932004165809835,0.33671368612176283
170,Risk-Parity,IBM,0.01657199207472091,0.005943427904092305,0.005530558343042787,0.027394843292762143,0.021864284949719356,0.35864293666652614
171,Risk-Parity,INTC,0.011273547315260668,0.004403922852187663,0.003636565346101812,0.018962991830473667,0.015326426484371856,0.3906421580566928
172,Risk-Parity,JBL,0.010249278321792983,0.004468044179167246,0.003396485263786577,0.019389197846094556,0.01599271258230798,0.4359374425091832
173,Risk-Parity,JNJ,0.02605107038490217,0.009745022353245878,0.009228277743132758,0.045424088000364043,0.03619581025723129,0.3740737792829265
174,Risk-Parity,JPM,0.011979100262144618,0.0049306870025807945,0.0038881548903624266,0.019566640399374818,0.01567848550901239,0.4116074575452342
175,Risk-Parity,KLAC,0.009923010436885349,0.0038796003865231854,0.0036999486124128507,0.020832322365886533,0.017132373753473682,0.39097010037418856
176,Risk-Parity,KMB,0.026025140694868196,0.010743482684904928,0.011587239704162162,0.05621898914011199,0.04463174943594983,0.41281170430034975
177,Risk-Parity,LMT,0.022777001128433665,0.009738438626385054,0.010717436199709354,0.04136467502635642,0.030647238826647067,0.4275557862719722
178,Risk-Parity,LOW,0.013645966714681173,0.0049917528595450535,0.006340173237794636,0.021264552461600198,0.014924379223805562,0.36580426758440043
179,Risk-Parity,MA,0.036101901813547575,0.04492354056674857,0.006408357560047359,0.13495504020102184,0.12854668264097446,1.2443538514608279
180,Risk-Parity,MKC,0.024535621848568764,0.010309994531119181,0.012817448906449015,0.05951300801657925,0.046695559110130236,0.42020514477894083
181,Risk-Parity,MMM,0.01519295358683622,0.005328588263052831,0.007750484922505259,0.028706639983442108,0.02095615506093685,0.3507276075449695
182,Risk-Parity,MRK,0.02158813924346739,0.010588586654949585,0.007488227297145086,0.045672983568222275,0.03818475627107719,0.4904816730860076
